operation,category,summary,implementation,sessionChange,validation,pending,priority,codeReferences
GET /proxy-managed/cities,Proxy,Proxy Interno - Listar cidades disponíveis,Backend integrado (escopo parcial),Existente; rota dinâmica não aparecia no inventário literal.,"HTTP200 nesta rodada, consulta somente leitura; ver evidência R10.",Seleção regional durante nova conexão ainda não homologada.,P1 — concluir homologação CRM,supabase/functions/_shared/uazapi-client.ts
POST /profile/name,Perfil,Altera o nome do perfil do WhatsApp,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P2 — avaliar para CRM,
POST /profile/image,Perfil,Altera a imagem do perfil do WhatsApp,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P2 — avaliar para CRM,
DELETE /instance,Instancia,Deletar instância,Backend integrado (escopo parcial),Existente; preservado.,Não executado.,"Destrutivo: última etapa, escopo operacional a resolver sem perder instância útil.",P1 — concluir homologação CRM,supabase/functions/_shared/uazapi-client.ts
GET /instance/privacy,Instancia,Buscar configurações de privacidade,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P2 — avaliar para CRM,
POST /instance/privacy,Instancia,Alterar configurações de privacidade,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P2 — avaliar para CRM,
POST /instance/presence,Instancia,Atualizar status de presença da instância,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /send/text,Enviar Mensagem,Enviar mensagem de texto,Backend integrado (escopo parcial),"Normalização, tracking, queued, eco/receipt, retries e consumidores corrigidos.","Envio real pelo chat, node, gateway; entrega/leitura entre dois números.",Carga representativa e falhas prolongadas.,P1 — concluir homologação CRM,supabase/functions/_shared/uazapi-client.ts; supabase/functions/_shared/action-handlers/whatsapp-helpers.ts
POST /send/media,Enviar Mensagem,"Enviar mídia (imagem, vídeo, áudio ou documento)",Backend integrado (escopo parcial),"Campos text/docName, download e armazenamento corrigidos.","Imagem, documento, áudio, PTT, vídeo, figurinha; mídia renderizada e áudio/vídeo reproduzidos.","Variações de tamanho/formato, expiração e redes lentas.",P1 — concluir homologação CRM,supabase/functions/_shared/uazapi-client.ts
POST /send/contact,Enviar Mensagem,Enviar cartão de contato (vCard),Backend integrado (escopo parcial),"Provider/proxy + compositor TorqueSDR; cartão legível, copiar telefone e validações de telefone/e-mail.","R12: envio pelo navegador HTTP200/queued, pending local com ID real, reload/clipboard conferidos; fornecedor Delivered/ContactMessage.",Variações recebidas pelo webhook e múltiplos telefones além do formulário de um número.,P1 — concluir homologação CRM,supabase/functions/_shared/uazapi-client.ts
POST /send/location,Enviar Mensagem,Enviar localização geográfica,Backend integrado (escopo parcial),Provider/proxy + compositor TorqueSDR; coordenadas validadas e cartão com link seguro para mapa.,"R12: envio pelo navegador HTTP200/queued, pending local com ID real, reload e link conferidos; fornecedor Delivered/LocationMessage.","Variações recebidas pelo webhook e divergência do fornecedor em (0,0).",P1 — concluir homologação CRM,supabase/functions/_shared/uazapi-client.ts
POST /message/presence,Enviar Mensagem,Enviar atualização de presença,Backend integrado (escopo parcial),Mapping composing/paused preservado; delay10s e renovação8s no compositor; parada3s/blur/troca/perda de permissão; serialização e validação de estado.,R13: três chamadas de presença no navegador HTTP200; estado inválido400; outra org403; testes de timers/concorrência/permissões.,Observar indicador e expiração no telefone remoto; presença recebida e recording não homologados.,P1 — concluir homologação CRM,supabase/functions/_shared/uazapi-client.ts
POST /send/status,Enviar Mensagem,Enviar status (stories),Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /send/menu,Enviar Mensagem,"Enviar menu interativo (botões, carrosel, lista ou enquete)",Backend integrado (escopo parcial),Campos documentados + opções/seleção no chat; nodes e gateway preservam metadata.,Lista real enviada/lida; seleção recebida; fluxo wait_response/timeout. R11: envio pelo compositor confirmado Delivered; rótulo/descrição no fornecedor e UI após reload.,Demais variantes de botões/enquete e limites não homologados integralmente.,P1 — concluir homologação CRM,supabase/functions/_shared/uazapi-client.ts
POST /send/carousel,Enviar Mensagem,Enviar carrossel de mídia com botões,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /send/location-button,Enviar Mensagem,Solicitar localização do usuário,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /send/request-payment,Enviar Mensagem,Solicitar pagamento,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /send/pix-button,Enviar Mensagem,Enviar botão PIX,Backend integrado (escopo parcial),Endpoint já existia; payload preservado; novo card PIX e copiar chave no chat.,Envio real Read; copiar chave conferido no navegador; nenhum pagamento. R11: compositor preserva ID real/pending e card após reload; fornecedor Delivered.,Entrada PIX recebida/variações; não é confirmação financeira.,P1 — concluir homologação CRM,supabase/functions/_shared/uazapi-client.ts
GET /message/async,Mensagem Async,Consultar fila async de envio direto,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
DELETE /message/async,Mensagem Async,Limpar fila async de envio direto,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /instance/updateDelaySettings,Mensagem Async,Configurar delay entre mensagens async,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /message/download,Ações na mensagem e Buscar,Baixar arquivo de uma mensagem,Backend integrado (escopo parcial),base64Data + persistência de mídia; transcrição autenticada com cache/lease.,"Downloads reais; transcrição HTTP200 persistida após reload; outsider403; concorrência200/409. R13: áudio recebido real reproduzido; transcribe=true devolveu HTTP200/cached com URL e MIME, sem texto; falha502 explícita no CRM, sem persistir transcrição vazia.",Resolver ausência de transcrição em resposta cached da UAZAPI para áudio recebido; nova homologação positiva após resolução. Não trocar provedor silenciosamente.,P1 — concluir homologação CRM,supabase/functions/_shared/whatsapp-media.ts; supabase/functions/_shared/uazapi-client.ts
POST /message/find,Ações na mensagem e Buscar,Buscar mensagens em um chat,Backend integrado (escopo parcial),Paginação/cursor e respostas reais corrigidos; base da recuperação.,Worker retomou100→215; 12 IDs antigos encontrados no fornecedor.,Recuperação de mensagem realmente ausente no fornecedor ainda sem prova.,P1 — concluir homologação CRM,supabase/functions/_shared/uazapi-client.ts
POST /message/history-sync,Ações na mensagem e Buscar,Solicitar histórico sob demanda de um chat,Backend integrado (escopo parcial),Provider/proxy + ação de histórico com progresso/retomada.,history/exact aceitos; exact também teve404 em caso inicial; job de histórico completou.,Aceitação não prova recuperação upstream; evento history sem handler dedicado.,P1 — concluir homologação CRM,supabase/functions/_shared/uazapi-client.ts
POST /message/markread,Ações na mensagem e Buscar,Marcar mensagens como lidas,Backend integrado (escopo parcial),Contrato existente preservado e testado.,"Ação sobre mensagem própria aceita; receipts de conversa real observados separadamente. R13: chamada sobre áudio recebido real HTTP200, outra organização403.",Conferência visual dos recibos no aparelho remoto; API de entrada real já exercitada.,P1 — concluir homologação CRM,supabase/functions/_shared/uazapi-client.ts
POST /message/react,Ações na mensagem e Buscar,Enviar reação a uma mensagem,Backend integrado (escopo parcial),"Campo text, referência da reação, replay/CAS e UI corrigidos.","Reação real, replay sem duplicar, persistência no chat após reload.",Variações concorrentes/múltiplos participantes.,P1 — concluir homologação CRM,supabase/functions/_shared/uazapi-client.ts
POST /message/delete,Ações na mensagem e Buscar,Apagar Mensagem Para Todos,Backend integrado (escopo parcial),ID e projeção deleted_at.,Exclusão de mensagem própria de teste aceita.,Revogação recebida e consistência visual em ambos os clientes.,P1 — concluir homologação CRM,supabase/functions/_shared/uazapi-client.ts
POST /message/edit,Ações na mensagem e Buscar,Edita uma mensagem enviada,Backend integrado (escopo parcial),ID/campos e projeção de mensagem editada corrigidos.,Edição de mensagem própria aceita.,Homologação visual completa de edição recebida.,P1 — concluir homologação CRM,supabase/functions/_shared/uazapi-client.ts
POST /message/pin,Ações na mensagem e Buscar,Fixa ou desafixa uma mensagem,Backend integrado (escopo parcial),Campo pin e projeção pinned_at.,Pin/unpin de teste aceitos.,Sincronização visual nos dois clientes.,P1 — concluir homologação CRM,supabase/functions/_shared/uazapi-client.ts
POST /group/create,Grupos e Comunidades,Criar um novo grupo,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /group/info,Grupos e Comunidades,Obter informações detalhadas de um grupo,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /group/inviteInfo,Grupos e Comunidades,Obter informações de um grupo pelo código de convite,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /group/join,Grupos e Comunidades,Entrar em um grupo usando código de convite,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /group/leave,Grupos e Comunidades,Sair de um grupo,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
GET /group/list,Grupos e Comunidades,Listar todos os grupos,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /group/list,Grupos e Comunidades,Listar todos os grupos com filtros e paginacao,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /group/resetInviteCode,Grupos e Comunidades,Resetar código de convite do grupo,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /group/updateAnnounce,Grupos e Comunidades,Configurar permissões de envio de mensagens no grupo,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /group/updateJoinApproval,Grupos e Comunidades,Configurar aprovação para entrada no grupo,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /group/updateMemberAddMode,Grupos e Comunidades,Configurar quem pode adicionar novos membros ao grupo,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /group/updateDescription,Grupos e Comunidades,Atualizar descrição do grupo,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /group/ephemeral,Grupos e Comunidades,Configurar mensagens temporárias em grupo,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /group/updateImage,Grupos e Comunidades,Atualizar imagem do grupo,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /group/updateLocked,Grupos e Comunidades,Configurar permissão de edição do grupo,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /group/updateName,Grupos e Comunidades,Atualizar nome do grupo,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /group/updateParticipants,Grupos e Comunidades,Gerenciar participantes do grupo,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /community/create,Grupos e Comunidades,Criar uma comunidade,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /community/editgroups,Grupos e Comunidades,Gerenciar grupos em uma comunidade,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /newsletter/create,Newsletters e Canais,Criar canal,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
GET /newsletter/list,Newsletters e Canais,Listar canais inscritos,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /newsletter/info,Newsletters e Canais,Buscar informações de um canal,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /newsletter/link,Newsletters e Canais,Buscar canal por link-chave de convite,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /newsletter/subscribe,Newsletters e Canais,Assinar live updates temporários de um canal,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /newsletter/messages,Newsletters e Canais,Buscar mensagens de um canal,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /newsletter/messages/edit,Newsletters e Canais,Editar mensagem recente de um canal,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /newsletter/messages/delete,Newsletters e Canais,Deletar mensagem recente de um canal,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /newsletter/updates,Newsletters e Canais,Buscar updates de mensagens de um canal,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /newsletter/viewed,Newsletters e Canais,Marcar posts do canal como visualizados,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /newsletter/reaction,Newsletters e Canais,Reagir a um post do canal,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /newsletter/follow,Newsletters e Canais,Seguir canal,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /newsletter/unfollow,Newsletters e Canais,Deixar de seguir canal,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /newsletter/mute,Newsletters e Canais,Silenciar canal,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /newsletter/unmute,Newsletters e Canais,Remover mute do canal,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /newsletter/delete,Newsletters e Canais,Deletar canal,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /newsletter/picture,Newsletters e Canais,Atualizar foto do canal,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /newsletter/name,Newsletters e Canais,Atualizar nome do canal,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /newsletter/description,Newsletters e Canais,Atualizar descrição do canal,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /newsletter/settings,Newsletters e Canais,Atualizar configurações do canal,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /newsletter/search,Newsletters e Canais,Pesquisar canais públicos,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /newsletter/admin/invite,Newsletters e Canais,Convidar admin do canal,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /newsletter/admin/accept,Newsletters e Canais,Aceitar convite de admin do canal,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /newsletter/admin/remove,Newsletters e Canais,Remover admin do canal,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /newsletter/admin/revoke,Newsletters e Canais,Revogar convite de admin do canal,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /newsletter/owner/transfer,Newsletters e Canais,Transferir dono do canal,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
GET /webhook,Webhooks e SSE,Ver Webhook da Instância,Backend integrado (escopo parcial),Inspeção/monitor existentes; comparação sem falso rebind por truncamento.,Configuração consultada e backup operacional realizado.,Teste de entrega direta do provider ao QA.,P1 — concluir homologação CRM,supabase/functions/_shared/uazapi-client.ts
POST /webhook,Webhooks e SSE,Configurar Webhook da Instância,Backend integrado (escopo parcial),Configuração existente; monitor/filtros e detecção de divergência corrigidos.,Sem reconfiguração do webhook remoto TorqueSDR.,Entrega direta QA; relé SSE não substitui esse teste.,P1 — concluir homologação CRM,supabase/functions/_shared/uazapi-client.ts
GET /webhook/errors,Webhooks e SSE,Ver últimos erros do webhook local,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P2 — avaliar para CRM,
GET /globalwebhook,Admininstração,Ver Webhook Global,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — administração restrita,
POST /globalwebhook,Admininstração,Configurar Webhook Global,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — administração restrita,
GET /globalwebhook/errors,Admininstração,Ver últimos erros do webhook global,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — administração restrita,
